Date, Open, High, Low, Close
05/01/18, 455.32, 455.74, 455.74, 455.74
04/30/18, 459.75, 455.35, 455.35, 455.35
04/27/18, 459.02, 459.78, 459.78, 459.78
04/26/18, 458.91, 459.10, 459.10, 459.10
04/25/18, 458.98, 458.92, 458.92, 458.92
04/24/18, 462.40, 459.21, 459.21, 459.21
04/23/18, 462.85, 462.36, 462.36, 462.36
04/20/18, 462.64, 462.86, 462.86, 462.86
04/19/18, 455.70, 462.64, 462.64, 462.64
04/18/18, 457.39, 455.69, 455.69, 455.69
04/17/18, 457.73, 457.38, 457.38, 457.38
04/16/18, 455.64, 457.72, 457.72, 457.72
04/13/18, 462.73, 455.57, 455.57, 455.57
04/12/18, 454.49, 462.76, 462.76, 462.76
04/11/18, 460.18, 454.47, 454.47, 454.47
04/10/18, 453.19, 460.25, 460.25, 460.25
04/09/18, 450.95, 453.19, 453.19, 453.19
04/06/18, 462.15, 450.91, 450.91, 450.91
04/05/18, 458.74, 462.18, 462.18, 462.18
04/04/18, 453.95, 459.01, 459.01, 459.01
04/03/18, 447.80, 454.00, 454.00, 454.00
04/02/18, 457.52, 447.80, 447.80, 447.80
03/29/18, 451.71, 457.53, 457.53, 457.53
03/28/18, 450.85, 451.72, 451.72, 451.72
03/27/18, 460.13, 450.99, 450.99, 450.99
03/26/18, 445.74, 460.10, 460.10, 460.10
03/23/18, 459.37, 445.64, 445.64, 445.64
03/22/18, 476.94, 459.37, 459.37, 459.37
03/21/18, 477.12, 477.01, 477.01, 477.01
03/20/18, 476.20, 477.18, 477.18, 477.18
03/19/18, 480.29, 476.20, 476.20, 476.20
03/16/18, 479.39, 480.30, 480.30, 480.30
03/15/18, 479.01, 479.41, 479.41, 479.41
03/14/18, 484.75, 478.99, 478.99, 478.99
03/13/18, 490.18, 484.81, 484.81, 484.81
03/12/18, 492.13, 490.17, 490.17, 490.17
03/09/18, 480.23, 492.13, 492.13, 492.13
03/08/18, 478.85, 480.22, 480.22, 480.22
03/07/18, 479.71, 478.92, 478.92, 478.92
03/06/18, 477.83, 479.75, 479.75, 479.75
03/05/18, 471.42, 477.89, 477.89, 477.89
03/02/18, 469.92, 471.44, 471.44, 471.44
03/01/18, 478.70, 470.02, 470.02, 470.02
02/28/18, 485.10, 478.88, 478.88, 478.88
02/27/18, 489.66, 485.11, 485.11, 485.11
02/26/18, 482.42, 489.69, 489.69, 489.69
02/23/18, 475.44, 482.42, 482.42, 482.42
